ds,y,syl
2020.9.19,10931.79,0.013688518
2020.9.20,11081.43,-0.014599199
2020.9.21,10919.65,-0.044799055
2020.9.22,10430.46,0.009756041
2020.9.23,10532.22,-0.028269444
2020.9.24,10234.48,0.048654157
2020.9.25,10732.43,-0.00368882
2020.9.26,10692.84,0.003699672
2020.9.27,10732.4,0.003898476
2020.9.28,10774.24,-0.007602392
2020.9.29,10692.33,0.013885654
2020.9.30,10840.8,-0.00580031
2020.10.1,10777.92,-0.014722692
2020.10.2,10619.24,-0.004160373
2020.10.3,10575.06,-0.002202352
2020.10.4,10551.77,0.011532662
2020.10.5,10673.46,0.010783757
2020.10.6,10788.56,-0.017131109
2020.10.7,10603.74,0.006324184
2020.10.8,10670.8,0.023662706
2020.10.9,10923.3,0.012806569
2020.10.10,11063.19,0.021646559
2020.10.11,11302.67,0.006541817
2020.10.12,11376.61,0.014365439
2020.10.13,11540.04,-0.009688008
2020.10.14,11428.24,0.000269508
2020.10.15,11431.32,0.006334352
2020.10.16,11503.73,-0.015313294
2020.10.17,11327.57,0.00343763
2020.10.18,11366.51,0.012465568
2020.10.19,11508.2,0.021720165
2020.10.20,11758.16,0.014228417
2020.10.21,11925.46,0.075980298
2020.10.22,12831.56,0.012367163
2020.10.23,12990.25,-0.003520333
2020.10.24,12944.52,0.014209874
2020.10.25,13128.46,-0.006984064
2020.10.26,13036.77,0.003037562
2020.10.27,13076.37,0.043980095
2020.10.28,13651.47,-0.026551719
2020.10.29,13289,0.01276695
2020.10.30,13458.66,0.007880428
2020.10.31,13564.72,0.018105792
2020.11.1,13810.32,-0.003724751
2020.11.2,13758.88,-0.013352104
2020.11.3,13575.17,0.033011741
2020.11.4,14023.31,0.009432866
2020.11.5,14155.59,0.101429894
2020.11.6,15591.39,0.000280924
2020.11.7,15595.77,-0.048470194
2020.11.8,14839.84,0.043852225
2020.11.9,15490.6,-0.010462474
2020.11.10,15328.53,-0.000749583
2020.11.11,15317.04,0.02556695
2020.11.12,15708.65,0.037362854
2020.11.13,16295.57,0.002685392
2020.11.14,16339.33,-0.015194013
2020.11.15,16091.07,-0.007638398
2020.11.16,15968.16,0.047406213
2020.11.17,16725.15,0.057073928
2020.11.18,17679.72,0.006715604
2020.11.19,17798.45,0.001242805
2020.11.20,17820.57,0.048644909
2020.11.21,18687.45,0.000658196
2020.11.22,18699.75,-0.014838166
2020.11.23,18422.28,-0.001268573
2020.11.24,18398.91,0.042046513
2020.11.25,19172.52,-0.022569803
2020.11.26,18739.8,-0.084758642
2020.11.27,17151.44,-0.000732883
2020.11.28,17138.87,0.034631805
2020.11.29,17732.42,0.025894943
2020.11.30,18191.6,0.083452253
2020.12.1,19709.73,-0.046535899
2020.12.2,18792.52,0.023118241
2020.12.3,19226.97,0.011835978
2020.12.4,19454.54,-0.040301647
2020.12.5,18670.49,0.025953791
2020.12.6,19155.06,0.01162095
2020.12.7,19377.66,-0.010127642
2020.12.8,19181.41,-0.044967497
2020.12.9,18318.87,0.012843587
2020.12.10,18554.15,-0.016513287
2020.12.11,18247.76,-0.011968592
2020.12.12,18029.36,0.042934414
2020.12.13,18803.44,0.019200742
2020.12.14,19164.48,0.005849885
2020.12.15,19276.59,0.008464153
2020.12.16,19439.75,0.099781633
2020.12.17,21379.48,0.068663036
2020.12.18,22847.46,0.013276312
2020.12.19,23150.79,0.031062871
2020.12.20,23869.92,-0.015891968
2020.12.21,23490.58,-0.031719098
2020.12.22,22745.48,0.047460419
