ds,yhat
2019.4.2,1290.934609
2019.4.3,1293.520641
2019.4.4,1295.839968
2019.4.5,1298.419421
2019.4.6,1298.419421
2019.4.7,1298.419421
2019.4.8,1305.034705
2019.4.9,1307.221118
2019.4.10,1309.06177
2019.4.11,1310.478374
2019.4.12,1312.017405
2019.4.13,1312.017405
2019.4.14,1312.017405
2019.4.15,1314.913342
2019.4.16,1315.744092
2019.4.17,1316.214906
2019.4.18,1316.273903
2019.4.19,1316.273903
2019.4.20,1316.273903
2019.4.21,1316.273903
2019.4.22,1316.273903
2019.4.23,1315.789178
2019.4.24,1315.462716
2019.4.25,1314.8787
2019.4.26,1314.618982
2019.4.27,1314.618982
2019.4.28,1314.618982
2019.4.29,1313.6126
2019.4.30,1313.707764
2019.5.1,1313.744546
2019.5.2,1313.673323
2019.5.3,1314.062546
2019.5.4,1314.062546
2019.5.5,1314.062546
2019.5.6,1314.062546
2019.5.7,1316.76188
2019.5.8,1317.854334
2019.5.9,1318.856633
2019.5.10,1320.315299
2019.5.11,1320.315299
2019.5.12,1320.315299
2019.5.13,1324.87957
2019.5.14,1326.842235
2019.5.15,1328.689528
2019.5.16,1330.337005
2019.5.17,1332.320953
2019.5.18,1332.320953
2019.5.19,1332.320953
2019.5.20,1337.679483
2019.5.21,1339.639182
2019.5.22,1341.35263
2019.5.23,1342.740834
2019.5.24,1344.34769
2019.5.25,1344.34769
2019.5.26,1344.34769
2019.5.27,1344.34769
2019.5.28,1349.191527
2019.5.29,1350.108493
2019.5.30,1350.656857
2019.5.31,1351.394643
2019.6.1,1351.394643
2019.6.2,1351.394643
2019.6.3,1352.369054
2019.6.4,1352.733503
2019.6.5,1353.852124
2019.6.6,1354.641103
2019.6.7,1355.665339
2019.6.8,1355.665339
2019.6.9,1355.665339
2019.6.10,1357.820439
2019.6.11,1358.69389
2019.6.12,1359.352828
2019.6.13,1359.739794
2019.6.14,1360.417861
2019.6.15,1360.417861
2019.6.16,1360.417861
2019.6.17,1361.843502
2019.6.18,1362.567057
2019.6.19,1363.118019
2019.6.20,1363.436587
2019.6.21,1364.084025
2019.6.22,1364.084025
2019.6.23,1364.084025
2019.6.24,1365.636308
2019.6.25,1366.47588
2019.6.26,1367.182045
2019.6.27,1367.697326
2019.6.28,1368.585801
2019.6.29,1368.585801
2019.6.30,1368.585801
2019.7.1,1371.159153
2019.7.2,1372.449034
2019.7.3,1373.665042
2019.7.4,1374.751528
2019.7.5,1376.27349
2019.7.6,1376.27349
2019.7.7,1376.27349
2019.7.8,1381.112884
2019.7.9,1383.270466
2019.7.10,1385.401861
2019.7.11,1387.443996
2019.7.12,1389.952923
2019.7.13,1389.952923
2019.7.14,1389.952923
2019.7.15,1397.830926
2019.7.16,1400.984798
2019.7.17,1404.080848
2019.7.18,1407.041302
2019.7.19,1410.407481
2019.7.20,1410.407481
2019.7.21,1410.407481
2019.7.22,1420.350171
2019.7.23,1423.980954
2019.7.24,1427.430557
2019.7.25,1430.613287
2019.7.26,1434.064705
2019.7.27,1434.064705
2019.7.28,1434.064705
2019.7.29,1443.419547
2019.7.30,1446.578928
2019.7.31,1449.342651
2019.8.1,1451.720622
2019.8.2,1454.260194
2019.8.3,1454.260194
2019.8.4,1454.260194
2019.8.5,1460.385069
2019.8.6,1462.360258
2019.8.7,1464.003482
2019.8.8,1465.258024
2019.8.9,1466.690654
2019.8.10,1466.690654
2019.8.11,1466.690654
2019.8.12,1469.776747
2019.8.13,1470.887434
2019.8.14,1471.7629
2019.8.15,1472.356451
2019.8.16,1473.242169
2019.8.17,1473.242169
2019.8.18,1473.242169
2019.8.19,1475.401356
2019.8.20,1476.435741
2019.8.21,1477.341195
2019.8.22,1478.06083
2019.8.23,1479.156077
2019.8.24,1479.156077
2019.8.25,1479.156077
2019.8.26,1479.156077
2019.8.27,1483.701826
2019.8.28,1484.982624
2019.8.29,1486.054146
2019.8.30,1487.45904
2019.8.31,1487.45904
2019.9.1,1487.45904
2019.9.2,1491.096349
2019.9.3,1492.489802
2019.9.4,1493.637651
2019.9.5,1494.456969
2019.9.6,1495.486721
2019.9.7,1495.486721
2019.9.8,1495.486721
2019.9.9,1497.271874
2019.9.10,1497.825189
2019.9.11,1498.03881
2019.9.12,1497.844271
2019.9.13,1497.797308
2019.9.14,1497.797308
2019.9.15,1497.797308
2019.9.16,1496.169235
2019.9.17,1495.594141
2019.9.18,1494.72034
2019.9.19,1493.500797
2019.9.20,1492.511737
2019.9.21,1492.511737
2019.9.22,1492.511737
2019.9.23,1488.736022
2019.9.24,1487.720904
2019.9.25,1486.56326
2019.9.26,1485.131096
2019.9.27,1484.095294
2019.9.28,1484.095294
2019.9.29,1484.095294
2019.9.30,1481.157651
2019.10.1,1480.726259
2019.10.2,1480.286144
2019.10.3,1479.781699
2019.10.4,1479.775122
2019.10.5,1479.775122
2019.10.6,1479.775122
2019.10.7,1480.336287
2019.10.8,1481.136851
2019.10.9,1481.924747
2019.10.10,1482.622589
2019.10.11,1483.771613
2019.10.12,1483.771613
2019.10.13,1483.771613
2019.10.14,1487.330449
2019.10.15,1488.920128
2019.10.16,1490.370837
2019.10.17,1491.596234
2019.10.18,1493.131302
2019.10.19,1493.131302
2019.10.20,1493.131302
2019.10.21,1496.977651
2019.10.22,1498.379
2019.10.23,1499.508451
2019.10.24,1500.28842
2019.10.25,1501.264465
2019.10.26,1501.264465
2019.10.27,1501.264465
2019.10.28,1502.878805
2019.10.29,1503.398072
2019.10.30,1503.601046
2019.10.31,1503.424963
2019.11.1,1503.42981
2019.11.2,1503.42981
2019.11.3,1503.42981
2019.11.4,1502.17267
2019.11.5,1501.787929
2019.11.6,1501.129879
2019.11.7,1500.143506
2019.11.8,1499.395097
2019.11.9,1499.395097
2019.11.10,1499.395097
2019.11.11,1496.262241
2019.11.12,1495.387734
